Future Work,Source
Investigation into effective ways to present risk information and customer support guarantees.,"(Maguire, 2024)"
Cross-cultural and cross-national study on user needs and perception of quality in digital banking.,"(Orehovački et al., 2022), (Jena, 2023)"
Apply Explainable AI (XAI) for transparency.,"(Rajasekaran and Selvam, 2025)"
Develop multi-modal interactions.,"(Rajasekaran and Selvam, 2025)"
Integrate Blockchain for data privacy.,"(Rajasekaran and Selvam, 2025)"
Implement custom gesture-based interactions for accessibility.,"(Kurnia Ningrum et al., 2023)"
Facilitate retrieving numbers from contacts and simplified number copying.,"(Kurnia Ningrum et al., 2023)"
Improve the accessibility of commonly used transactions.,"(Jin and Fan, 2022)"
Help older adults learn to perform more complex transactions.,"(Jin and Fan, 2022)"
Explore older adults' interpretation of icons and UI elements.,"(Jin and Fan, 2022)"
Design more humanistic and empathetic voice assistants.,"(Jin and Fan, 2022)"
Conduct further user needs research for additional features such as foreign currency transactions and notifications.,"(Nadela and Yulianti, 2022)"
Implement the VUI with actual Natural Language Processing (NLP) and integrate it with built-in device voice assistants.,"(Nadela and Yulianti, 2022)"
"Conduct inspections on more instant payment applications to validate and refine a set of ""Design and Evaluation Considerations.""","(Melo et al., 2024)"
Develop and map specific design and evaluation considerations for chatbots and Web banking systems.,"(Melo et al., 2024)"
Conduct future research that considers real-time consumer feedback and explores the perspectives of financial personnel and end-users.,"(Huang et al., 2024)"
"Conduct future research on AI-driven personalization, long-term usability studies, and culturally inclusive mobile applications.","(Amouzadeh et al., 2025)"
Evaluate mobile banking applications in the field to test a developed UX measurement framework.,"(Zhu et al., 2022)"
Extend the existing research framework with additional subjective and objective quality dimensions relevant to mobile banking.,"(Orehovački et al., 2022)"
Research the impact of new technologies such as blockchain and AI in enhancing the security and user experience.,"(Shridhar et al., 2025)"
Test specific machine learning models for their efficiency in predicting and resolving user issues.,"(Shridhar et al., 2025)"
Use federated learning for decentralized fraud detection across multiple financial institutions.,"(Saha and Chavan, 2025)"
Conduct research iterations on the value perceived by users after the proposed solutions are implemented.,"(Pratama and Novani, 2021)"
"Analyze the security and usability of online banking services like one-touch pay, NFC, and QR payment systems.","(Darwaish and Qadir, 2022)"
"To conduct future studies on customer satisfaction expanded beyond text classification, using different methodologies.","(Andrian et al., 2022)"
"To delve deeper into challenges related to cybersecurity, data privacy, and artificial intelligence integration in future banking institutions.","(Palos-Sanchez et al., 2025)"
To analyze ethical concerns and regulatory hurdles related to senior accessibility and inclusion.,"(Palos-Sanchez et al., 2025)"
To conduct studies that consider additional antecedents not yet discussed (such as complexity and time risks).,"(Jena, 2023)"
To extend data collection to include more participants from other states in Malaysia.,"(Ubam et al., 2021)"
To prepare the questionnaire's questions in multiple languages to ensure maximum validity of the collected data.,"(Ubam et al., 2021)"
To enhance HTA and QOC design models with insights from co-design studies with older adults.,"(Panda and Law, 2024)"
To explore the reasons for challenges in Functional Illiterate (FXI) users' performance.,"(Mohammed et al., 2023)"
To design and evaluate a custom UI that aims to improve the challenges identified for Functional Illiterate (FXI) users.,"(Mohammed et al., 2023)"
To collect data from experts in disability and gerontology to create more compatible mobile banking apps for vulnerable populations.,"(Naeem et al., 2022)"
To conduct studies that consider additional antecedents not yet discussed (such as complexity and time risks) to extend the understanding of e-banking adoption.,"(Jena, 2023)"